port_index,portname,prttype,prtsize,status,iso3,port_lat,port_long,unique_port_identifier,country
1395.0,Hambantota,Sea,Very Small,Unknown,LKA,6.12893,81.1347,Hambantota (1395.0),Sri Lanka
1400.0,Port Said,Sea,Medium,Open,EGY,31.243300000000445,32.30090000000058,Port Said (1400.0),Egypt
1403.0,Hadera,Sea,Very Small,Open,ISR,32.46309999999995,34.88720000000007,Hadera (1403.0),Israel
1404.0,Hamburg,Sea,Unknown,Unknown,DEU,53.54630000000348,9.98089999999802,Hamburg (1404.0),Germany
1405.0,Norddeich,Sea,Unknown,Unknown,DEU,53.62529999999972,7.157699999999871,Norddeich (1405.0),Germany
1406.0,Goole,Sea,Unknown,Unknown,GBR,53.70579999999981,-0.8720000000000079,Goole (1406.0),U.K. of Great Britain and Northern Ireland
1407.0,Drogheda,Sea,Unknown,Unknown,IRL,53.71730000000018,-6.329999999999963,Drogheda (1407.0),Ireland
1408.0,Whitby,Sea,Unknown,Unknown,GBR,54.49040000000085,-0.6204000000000102,Whitby (1408.0),U.K. of Great Britain and Northern Ireland
1409.0,Nysted,Sea,Unknown,Unknown,DNK,54.66510000000014,11.734100000000021,Nysted (1409.0),Denmark
1410.0,Kerteminde,Sea,Unknown,Unknown,DNK,55.45110000000019,10.659299999999952,Kerteminde (1410.0),Denmark
1411.0,Kolding,Sea,Unknown,Unknown,DNK,55.48949999999978,9.509499999999996,Kolding (1411.0),Denmark
1412.0,Old Kilpatrick,Sea,Unknown,Unknown,GBR,55.91409999999997,-4.450500000000005,Old Kilpatrick (1412.0),U.K. of Great Britain and Northern Ireland
1413.0,Ardrishaig,Sea,Unknown,Unknown,GBR,56.0215,-5.449,Ardrishaig (1413.0),U.K. of Great Britain and Northern Ireland
1415.0,North Berwick,Sea,Unknown,Unknown,GBR,56.060300000000275,-2.7172000000000307,North Berwick (1415.0),U.K. of Great Britain and Northern Ireland
1416.0,Randers,Sea,Unknown,Unknown,DNK,56.457099999999684,10.067299999999971,Randers (1416.0),Denmark
1417.0,Mariager,Sea,Unknown,Unknown,DNK,56.65189999999998,9.987899999999998,Mariager (1417.0),Denmark
1418.0,Strangnas,Sea,Unknown,Unknown,SWE,59.37840000000003,17.0481,Strangnas (1418.0),Sweden
1419.0,Lysaker,Sea,Unknown,Unknown,NOR,59.90189999999751,10.611900000001212,Lysaker (1419.0),Norway
1420.0,Sandarne,Sea,Unknown,Unknown,SWE,61.2603,17.1803,Sandarne (1420.0),Sweden
1427.0,Santa Marta,Sea,Small,Open,COL,11.249200000000096,-74.21570000000044,Santa Marta (1427.0),
1428.0,Jakarta,Sea,Large,Open,IDN,-6.1043399999999695,106.8029999999999,Jakarta (1428.0),
1429.0,Tanjung Priok,Sea,Large,Open,IDN,-6.104920000000147,106.8760000000074,Tanjung Priok (1429.0),Indonesia
1435.0,Port Tampa,Sea,Unknown,Open,USA,27.87909999999948,-82.53179999999755,Port Tampa (1435.0),United States of America
1437.0,El Segundo,Sea,Unknown,Open,USA,33.90029999999981,-118.41500000000075,El Segundo (1437.0),United States of America
1444.0,Davant,Sea,Unknown,Open,USA,29.597299999999958,-89.84059999999975,Davant (1444.0),United States of America
1445.0,Pasadena,Sea,Unknown,Open,USA,29.72070000000003,-95.2168999999995,Pasadena (1445.0),United States of America
1446.0,Cameron,Sea,Unknown,Open,USA,29.78600000000005,-93.32160000000097,Cameron (1446.0),United States of America
1447.0,Everett,Sea,Unknown,Open,USA,47.966599999999794,-122.22099999999972,Everett (1447.0),United States of America
